system:index,Dec1990,Dec1991,Dec1992,Dec1993,Dec1994,Dec1995,Dec1996,Dec1997,Dec1998,Dec1999,Dec2000,Dec2001,Dec2002,Dec2003,Dec2004,Dec2005,Dec2006,Dec2007,Dec2008,Dec2009,Dec2010,Dec2011,Dec2012,Dec2013,Dec2014,Dec2015,Dec2016,Dec2017,Dec2018,Dec2019,Dec2020,Dec2021,Dec2022,LUC,.geo
1_0,1645748989,1638262409,1628055817,1613444413,1584925727,1569030445,1550289995,1490648752,1434208834,1407273440,1384600600,1369445212,1336465228,1324497477,1298227137,1280599130,1254960942,1238807768,1223813537,1205759881,1195659421,1182839377,1167591519,1149828807,1130342598,1097281406,1081170871,1072901983,1062545952,1048841409,1043018829,1037795927,1031930194,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,32535048,37449747,44188632,53102571,71514997,81371265,91330001,131852998,175582311,191371576,202457130,209146399,222478231,227767056,237132605,242919164,253261045,259677146,264112511,267424520,269003039,269309025,264736961,262290042,262199991,274919613,279188935,279591664,280883516,286144892,287018358,284976611,287680261,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_0,37936038,40485204,43928240,49586095,59679594,65642271,74402630,93507966,105819740,116769258,128061789,135854377,154974573,160306499,176943391,185281283,199875727,208328935,218105164,232205800,239472181,251522041,270656873,290069805,308895132,328047403,334055005,338942943,345292649,347130284,323772015,332035649,333879883,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2_1_0,738143,771365,805528,858632,901208,1019246,1071157,1139600,1584183,1828035,2166354,2887660,3473287,4854097,5479440,6881896,7951417,10214345,11544097,12648081,15002590,15829199,17175919,19013349,20978840,24319224,36593427,43828387,49602095,63954456,131925257,131925997,131853764,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2_2_1_0,45903580,45896490,45888607,45875968,45848030,45811425,45782593,45728833,45694094,45650269,45610728,45584979,45555754,45549441,45549134,48395224,48517918,48623544,48707351,48799529,48880941,48947237,49003103,49091693,49176501,49198035,50477271,50980356,51072831,51017191,51342785,50339673,51734111,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2_2_2_0,354538922,354535505,354533896,354533041,354531164,354526068,354524344,354522571,354511558,354508142,354504119,354482093,354453647,354426150,354069013,353324023,352833671,351748982,351118060,350562909,349382548,348953841,348236345,347107024,345807658,343635039,335915211,331155387,328003677,320313705,280324660,280323846,280323691,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
