system:index,Dec1990,Dec1991,Dec1992,Dec1993,Dec1994,Dec1995,Dec1996,Dec1997,Dec1998,Dec1999,Dec2000,Dec2001,Dec2002,Dec2003,Dec2004,Dec2005,Dec2006,Dec2007,Dec2008,Dec2009,Dec2010,Dec2011,Dec2012,Dec2013,Dec2014,Dec2015,Dec2016,Dec2017,Dec2018,Dec2019,Dec2020,Dec2021,LUC,.geo
1_0,1657274905,1649906313,1639833625,1625331495,1597163333,1581313837,1562626713,1503048297,1446714023,1419787123,1397110563,1381924800,1348935059,1336939895,1310666452,1293039905,1267404862,1251251544,1236258730,1218206117,1208116500,1195314918,1180084780,1162365395,1142939792,1109992784,1093910556,1085934970,1075992758,1062787297,1057154759,1059155956,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,35007780,40503452,48110107,59066074,80415797,91866403,103818212,149551629,196505165,214937694,228504906,237132783,255004605,261400819,272993753,280348142,293054100,300793357,306394458,309485961,310993333,309912727,300364237,294658472,291437725,302300237,304998387,302385245,297564779,294589987,292143868,287348409,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_0,14177313,16007023,18438252,21920131,28706596,33011238,39705006,53505039,62431064,70663675,79417590,85216862,99764408,104638436,116405734,125724491,137896029,144932658,153499529,167783078,175053834,188451553,212495372,235087979,256987026,277751248,284928653,292352830,304303982,312853194,320442584,329835489,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2_1_0,346932,385447,426007,497241,554142,683079,750698,841442,1324309,1623202,2017949,2801819,3425486,4153492,4438108,5177060,5811793,7083536,7824513,8409746,9639745,10057719,10735876,11478881,12140248,13437596,18363654,21024818,23977516,31657598,31657478,31392083,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2_2_1_0,45901215,45894141,45886259,45873623,45845694,45809103,45780273,45726518,45691778,45647960,45608436,45582681,45553460,45550171,48178635,48393019,48515719,48621360,48705153,48797351,48878796,48945088,49000961,49089534,49174396,49196056,50476335,50979820,50838818,50820197,51310078,51736305,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2_2_2_0,364692575,364704344,364706470,364712156,364715158,364717060,364719818,364727795,364734381,364741066,364741276,364741775,364717702,364717907,364718038,364718103,364718217,364718265,364718337,364718467,364718512,364718715,364719494,364720459,364721533,364722799,364723135,364723037,364722867,364693664,364693137,357933662,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
